config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,seed,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,cv_best_score,best_params,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
urlphish__none__decision_tree__rnative__s1,urlphish,none,Baseline,decision_tree,,1,0.8996350364963503,0.8664323374340949,0.88272157564906,0.8639032452303571,0.925201012785832,0.96725,0.949677524114619,0.8611844666305749,3376,55,76,493,0.8721,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_split"": 2}",4.7,16000,4000,2278,569,14.24,14.22
urlphish__none__random_forest__rnative__s1,urlphish,none,Baseline,random_forest,,1,0.9432234432234432,0.905096660808436,0.9237668161434978,0.9116891175844476,0.9480306970611692,0.97875,0.993366078640986,0.974680371591498,3400,31,54,515,0.9083,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",21.0,16000,4000,2278,569,14.24,14.22
urlphish__none__svm__rnative__s1,urlphish,none,Baseline,svm,,1,0.9486238532110092,0.9086115992970124,0.9281867145421904,0.916862397310645,0.9502253566289784,0.98,0.9911476002682048,0.9656182603252822,3403,28,52,517,0.9156,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",9.7,16000,4000,2278,569,14.24,14.22
urlphish__random_oversampling__decision_tree__rnative__s1,urlphish,random_oversampling,Data-level (resampling),decision_tree,,1,0.8595317725752508,0.9033391915641475,0.8808911739502999,0.8609277989899677,0.9394282667234904,0.96525,0.944306255535311,0.8202622968979358,3347,84,55,514,0.8671,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 10}",3.8,16000,4000,2278,569,14.24,14.22
urlphish__random_oversampling__random_forest__rnative__s1,urlphish,random_oversampling,Data-level (resampling),random_forest,,1,0.9006849315068494,0.9244288224956064,0.9124024284475284,0.8977580724424881,0.9537620649930668,0.97475,0.9916116827908876,0.9695912260898244,3373,58,43,526,0.9065,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",30.5,16000,4000,2278,569,14.24,14.22
urlphish__random_oversampling__svm__rnative__s1,urlphish,random_oversampling,Data-level (resampling),svm,,1,0.8246951219512195,0.9507908611599296,0.8832653061224491,0.8653265285970798,0.9586364681783328,0.96425,0.9903910330651114,0.9486934128238868,3316,115,28,541,0.8862,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",31.5,16000,4000,2278,569,14.24,14.22
urlphish__random_undersampling__decision_tree__rnative__s1,urlphish,random_undersampling,Data-level (resampling),decision_tree,,1,0.7322175732217573,0.922671353251318,0.8164852255054432,0.7893066784475563,0.9333554959203254,0.941,0.9584159521452036,0.7609030031102757,3239,192,44,525,0.8085,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_split"": 10}",2.9,16000,4000,2278,569,14.24,14.22
urlphish__random_undersampling__random_forest__rnative__s1,urlphish,random_undersampling,Data-level (resampling),random_forest,,1,0.7732394366197183,0.9648506151142356,0.8584831899921814,0.8391639398211135,0.9589627601948328,0.95475,0.9918027454630298,0.967613892645699,3270,161,20,549,0.845,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",11.3,16000,4000,2278,569,14.24,14.22
urlphish__random_undersampling__svm__rnative__s1,urlphish,random_undersampling,Data-level (resampling),svm,,1,0.7901591895803184,0.9595782073813708,0.8666666666666667,0.8476143077221573,0.9586582380538448,0.958,0.9882089231902446,0.9262684286396748,3286,145,23,546,0.8594,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",4.3,16000,4000,2278,569,14.24,14.22
urlphish__smote__decision_tree__rnative__s1,urlphish,smote,Data-level (synthetic),decision_tree,,1,0.8741610738255033,0.9156414762741651,0.8944206008583692,0.8767588762724554,0.9468909800490616,0.96925,0.9466451085138654,0.8124181361389935,3356,75,48,521,0.8742,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",5.4,16000,4000,2278,569,14.24,14.22
urlphish__smote__random_forest__rnative__s1,urlphish,smote,Data-level (synthetic),random_forest,,1,0.9114139693356048,0.9402460456942004,0.9256055363321798,0.913194606012764,0.9625450572394056,0.9785,0.9927375695291406,0.9750345885130532,3379,52,34,535,0.9167,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",43.2,16000,4000,2278,569,14.24,14.22
urlphish__smote__svm__rnative__s1,urlphish,smote,Data-level (synthetic),svm,,1,0.838006230529595,0.945518453427065,0.8885218827415358,0.8709190123290642,0.9576032954981434,0.96625,0.9903797639530816,0.9515427370098728,3327,104,31,538,0.8895,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",29.4,16000,4000,2278,569,14.24,14.22
