feature,mean_abs_shap,mean_shap,rank,imbalance_method
time_domain_activation,0.05680486408790193,-0.01889710836003702,1,none
directory_length,0.04771526215569865,-0.012854180154977206,2,none
length_url,0.03278167863612336,0.0007847997739482502,3,none
qty_slash_directory,0.02384105228271471,-0.006622318632877231,4,none
qty_dot_domain,0.023135333450346192,-0.0032337520570305573,5,none
qty_slash_url,0.020972151479797172,-0.007901056372020748,6,none
file_length,0.013811104470198404,-0.0006532602609458439,7,none
ttl_hostname,0.013506318984416867,-0.0009622838561671781,8,none
qty_dollar_directory,0.013153924420624913,0.0023241263139102074,9,none
qty_dot_directory,0.012215785162499094,-0.0007446147146258846,10,none
qty_plus_directory,0.011250423432230615,0.0019041325091413005,11,none
time_domain_expiration,0.010013501141569556,-0.001985411092750585,12,none
qty_and_directory,0.009850139098321827,0.0016850020129003276,13,none
qty_tilde_file,0.009698177714410427,0.0017443015112432983,14,none
qty_exclamation_file,0.009664513392362106,0.001467424734431382,15,none
qty_and_file,0.00946531447947036,0.0020691864625323846,16,none
qty_dot_url,0.009196922112266855,-0.001879986036343192,17,none
asn_ip,0.008792286337542931,-0.00022804524512462713,18,none
qty_underline_directory,0.008264115469961895,0.001422574164082829,19,none
qty_dot_file,0.00824110386612164,-0.0007585926051809685,20,none
qty_tilde_directory,0.008176280289374921,0.0013260710064146451,21,none
qty_percent_directory,0.008154034059818273,0.0014849552535147275,22,none
qty_questionmark_directory,0.007939981731873286,0.001623255837924293,23,none
qty_exclamation_directory,0.007659427680752256,0.001414856865236071,24,none
qty_equal_directory,0.007658973761691942,0.0012481629900733457,25,none
qty_asterisk_file,0.00752259862959713,0.00135467030440419,26,none
qty_hyphen_file,0.007268203678000386,0.0016536027170337302,27,none
qty_percent_file,0.00725704618148435,0.0012589231662434898,28,none
qty_underline_file,0.006907195972424092,0.001481443809334713,29,none
qty_plus_file,0.006758733052724198,0.00122229536826988,30,none
qty_comma_directory,0.0066573057491022564,0.001173508296586763,31,none
qty_mx_servers,0.006625144798482718,-0.0008529891459921504,32,none
qty_equal_file,0.006549731742507389,0.0011452441909220329,33,none
time_response,0.006430248335379111,6.010449503978291e-05,34,none
qty_space_directory,0.0062257120862567504,0.0012517266041905213,35,none
qty_ip_resolved,0.0060586868271058246,-0.0006372854437666662,36,none
qty_at_file,0.006029748575957247,0.001140599102972279,37,none
qty_nameservers,0.0059812826084755365,-0.0003456601759433697,38,none
domain_length,0.005910050879000991,-0.0011771356488940571,39,none
qty_hyphen_directory,0.005879992514101321,0.0013830350320414109,40,none
qty_at_directory,0.005687977703832653,0.0014100199460412393,41,none
tls_ssl_certificate,0.005262529794606717,-0.0005563202893333441,42,none
qty_space_file,0.004977700855701363,0.0008341922205749461,43,none
qty_hyphen_url,0.004725491990529606,0.000312466853333688,44,none
qty_vowels_domain,0.004544201210545669,-0.00043261583085376607,45,none
qty_redirects,0.004431725680035731,-0.00022121061078204425,46,none
qty_asterisk_directory,0.004318732433835356,0.0008814932527821887,47,none
params_length,0.004285179096547516,0.0008255434024250525,48,none
qty_comma_file,0.004244328687149242,0.0007803492958852616,49,none
domain_spf,0.003252586488505597,-4.7261196812456185e-05,50,none
qty_hyphen_domain,0.0030371384330309904,-0.0006239226732245751,51,none
qty_asterisk_params,0.0027821574049025585,0.0020813777726427533,52,none
qty_tilde_params,0.002325310960505739,0.0012636528776423669,53,none
qty_hashtag_params,0.002218883413327121,0.0009641559065889391,54,none
qty_slash_params,0.0021339525712072357,0.0008060050870277827,55,none
qty_dollar_params,0.002062300211555322,0.0011658404767137896,56,none
tld_present_params,0.0019340036570091466,0.000547560143226774,57,none
qty_exclamation_params,0.0018969835881000837,0.0009741630842360063,58,none
qty_space_params,0.001864010705036743,0.0009518791967498895,59,none
qty_percent_params,0.0017680562157320976,0.0009791861869310613,60,none
qty_dot_params,0.0017580756060912874,0.0007503836321718036,61,none
qty_comma_params,0.001755607083408042,0.0007763322187481212,62,none
qty_and_params,0.0015843562633209246,0.00073817055172581,63,none
qty_plus_params,0.0015749218451845902,0.0005326842953480052,64,none
qty_at_params,0.0015062273531895494,0.0008375794541348578,65,none
qty_questionmark_params,0.0014701212913219464,0.0006963027236131615,66,none
qty_equal_params,0.0014469148453734948,0.0011205054741167681,67,none
qty_equal_url,0.0013987903342779972,0.0011484975645842852,68,none
qty_underline_params,0.0012807285882624505,0.00031749705174914677,69,none
qty_hyphen_params,0.001279705022263905,0.0006151598851652158,70,none
qty_tld_url,0.0012507893676682793,-0.00034080543777388167,71,none
qty_params,0.0012493081069421283,0.001193010738785936,72,none
url_shortened,0.0007940544876044875,-0.00020220006116358327,73,none
qty_underline_url,0.00034611726599507607,1.1009643542657816e-06,74,none
qty_percent_url,0.00022380571965304868,4.688374470427359e-05,75,none
qty_at_url,0.00020405624723207974,-6.7320463930689545e-06,76,none
domain_in_ip,0.00015192047158250308,-0.00015150759554101906,77,none
qty_and_url,0.0001264979608423096,-7.863386335632941e-05,78,none
email_in_url,9.90193568698154e-05,-4.759237147860506e-05,79,none
qty_plus_url,6.196544017036047e-05,1.5489069925427784e-05,80,none
url_google_index,2.8718163372845412e-05,7.2293101479898885e-06,81,none
server_client_domain,2.485964066296848e-05,2.330944456554665e-06,82,none
domain_google_index,1.980591041549244e-05,3.009187251331319e-06,83,none
qty_exclamation_url,1.6226222071085676e-05,8.821832391914962e-06,84,none
qty_questionmark_url,1.5323200958575473e-05,-1.389070036546088e-05,85,none
qty_comma_url,1.3533605391960521e-05,1.2231916912546571e-05,86,none
qty_asterisk_url,1.1611582686309343e-05,-1.1611582686309343e-05,87,none
qty_tilde_url,1.0962316989631434e-05,-6.3194080270212694e-06,88,none
qty_underline_domain,4.242391234225564e-06,-2.982427228380695e-06,89,none
qty_dollar_url,4.01544195577725e-06,-4.01544195577725e-06,90,none
qty_space_url,1.7125329314693406e-06,-1.4998121462260325e-06,91,none
qty_hashtag_url,1.1379869119137586e-06,-1.1379869119137586e-06,92,none
qty_at_domain,1.7502858420887073e-07,-1.7502858420887073e-07,93,none
time_domain_activation,0.0663291098243827,-0.03157289189358289,1,smote
directory_length,0.0404056073040579,-0.02020593500809723,2,smote
length_url,0.03102756313562552,-0.002566804236530063,3,smote
qty_slash_url,0.030277778689617924,-0.015555141307843497,4,smote
qty_dot_domain,0.02631295232208558,-0.006977062054904558,5,smote
qty_slash_directory,0.021750690561345133,-0.01183086069519629,6,smote
qty_underline_directory,0.019325113741928017,-0.0023179665178823614,7,smote
qty_tilde_directory,0.018784751899297687,-0.002331648532095987,8,smote
qty_dot_directory,0.0184112847770488,-0.00523469697858931,9,smote
qty_dollar_directory,0.01619038441515787,-0.0018045765480201015,10,smote
file_length,0.01538176230703746,-0.004650519661549287,11,smote
ttl_hostname,0.013258136017864115,-0.00329540303597806,12,smote
qty_percent_directory,0.012537766235695592,-0.0021693199774635422,13,smote
qty_space_directory,0.011441126666972416,-0.0019760429215079684,14,smote
time_domain_expiration,0.011271394311132677,-0.004893475213842234,15,smote
qty_plus_file,0.011082426804862365,-0.001534691665154801,16,smote
qty_and_file,0.010933569455436972,-0.0011790100859877155,17,smote
qty_questionmark_directory,0.010835251549179924,-0.0011902006349274455,18,smote
qty_at_directory,0.010771835612032548,-0.0014167922819118793,19,smote
qty_equal_directory,0.010258469574664803,-0.0011351088213709,20,smote
qty_dot_url,0.009700997603855682,-0.0028834083613500415,21,smote
qty_dot_file,0.00944003379990617,-0.002601954004141758,22,smote
asn_ip,0.008700256305453293,-0.002155647140694425,23,smote
qty_plus_directory,0.008442998795157055,-0.001441162560979675,24,smote
qty_mx_servers,0.008219492820422133,-0.003215031592093039,25,smote
qty_asterisk_file,0.00819939126748679,-0.0014997122039774858,26,smote
qty_and_directory,0.00812883013499706,-0.0008116706020135676,27,smote
qty_ip_resolved,0.0073776659443426165,-0.002269774912478225,28,smote
time_response,0.006910532515776324,-0.0014699634801865215,29,smote
qty_nameservers,0.006359990217092781,-0.0017725017196629559,30,smote
domain_length,0.005923701646724801,-0.0016045068860721435,31,smote
qty_percent_file,0.005735473788304862,-0.0010085368628634313,32,smote
qty_hyphen_file,0.005729106449900537,-0.00028395802291631463,33,smote
qty_vowels_domain,0.005611844489064423,-0.0025600995892866027,34,smote
qty_hyphen_url,0.005602873234053581,-0.00038493119909205716,35,smote
qty_tilde_file,0.005583585089037535,-0.0007371462730573984,36,smote
qty_underline_file,0.0055650710215596885,-0.000475679874589922,37,smote
qty_comma_directory,0.005498483904669988,-0.0006812123938351188,38,smote
qty_at_file,0.005429312371513807,-0.00044524827461986946,39,smote
qty_exclamation_directory,0.0053629097341746975,-0.0006142805888404259,40,smote
qty_redirects,0.005313057212893075,-0.0017273799602648353,41,smote
qty_comma_file,0.005244946416934849,-0.0006021320396051572,42,smote
qty_exclamation_file,0.004897538929266789,-0.0003840919179234837,43,smote
tls_ssl_certificate,0.0040645231668616465,-0.0009070048206910602,44,smote
params_length,0.0035662479439024647,0.000270044975148341,45,smote
qty_hyphen_domain,0.003013136506802934,-0.0007172745274273079,46,smote
qty_space_file,0.002710041155857193,-6.395812155847448e-05,47,smote
qty_asterisk_params,0.002708494595386169,0.0017034468911659181,48,smote
qty_equal_file,0.0026770563864647427,-0.0001458402345026651,49,smote
domain_spf,0.002660906991025517,-0.0005088944055433393,50,smote
qty_asterisk_directory,0.0026188488669152818,-7.13692016481322e-05,51,smote
qty_at_params,0.0019339253344538238,0.0008900454575176354,52,smote
qty_slash_params,0.0017471431508621288,0.0010904586098567455,53,smote
qty_percent_params,0.0017076440870313853,0.0008082245874691208,54,smote
qty_hyphen_params,0.0016789369374651327,0.0007576721401308746,55,smote
qty_comma_params,0.0016584513447257844,0.0001913837404155961,56,smote
qty_tilde_params,0.0016307269558891268,0.0009739033337732215,57,smote
qty_hyphen_directory,0.0015279354004713733,0.0001890855032854438,58,smote
qty_space_params,0.0015167264347552638,0.0011619801706644203,59,smote
qty_and_params,0.0014265621411695087,0.000723894016820057,60,smote
qty_plus_params,0.0013739847901007188,0.0008344628328686605,61,smote
qty_equal_params,0.0013646673856756199,0.0008463172113631144,62,smote
qty_dot_params,0.001296991413752322,0.0002087509270514719,63,smote
qty_underline_params,0.0011887784354200326,0.0008513940634074493,64,smote
qty_hashtag_params,0.0010825786617867875,0.0002587942517474705,65,smote
qty_equal_url,0.0010671303140384024,0.00029867484562161583,66,smote
tld_present_params,0.0010530328769207996,-0.00012170421444041307,67,smote
qty_tld_url,0.0010115473836354084,-0.0003775959396473825,68,smote
