url_len,dom_len,is_ip,tld_len,subdom_cnt,letter_cnt,digit_cnt,special_cnt,eq_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,entropy,path_len,query_len,__true_label
32,23,0,3,0,27,0,5,0,0,0,1,0,0,0.84375,0.0,0.15625,1,3,4.179229297,1,0,0
25,7,0,3,1,18,1,6,0,0,0,2,0,0,0.72,0.04,0.24,1,3,3.75326969,6,0,0
22,10,0,5,1,16,0,6,0,0,0,3,0,0,0.727272727,0.0,0.272727273,1,2,3.663532755,0,0,0
35,9,0,3,1,27,0,8,0,0,0,2,2,0,0.771428571,0.0,0.228571429,1,3,3.957295874,1,0,1
43,31,0,3,1,37,0,6,0,0,0,2,0,0,0.860465116,0.0,0.139534884,0,3,4.193251964,1,0,0
27,15,0,2,1,22,0,5,0,0,0,2,0,0,0.814814815,0.0,0.185185185,1,2,3.810081021,0,0,0
34,7,0,2,1,23,2,9,0,0,0,2,2,0,0.676470588,0.058823529,0.264705882,0,4,4.219528282,16,0,0
70,19,0,2,1,64,0,6,0,0,0,2,0,0,0.914285714,0.0,0.085714286,1,3,4.091533603,39,0,0
28,16,0,3,1,22,0,6,0,0,0,2,0,0,0.785714286,0.0,0.214285714,0,3,4.012188404,1,0,0
23,10,0,6,1,16,0,7,0,0,0,3,0,0,0.695652174,0.0,0.304347826,1,3,3.609668477,1,0,0
18,7,0,2,1,13,0,5,0,0,0,2,0,0,0.722222222,0.0,0.277777778,0,2,3.419381946,0,0,0
26,12,0,6,1,18,0,8,0,0,0,3,0,0,0.692307692,0.0,0.307692308,0,4,3.488525295,3,0,0
23,11,0,6,1,16,0,7,0,0,0,3,0,0,0.695652174,0.0,0.304347826,0,3,3.642489673,1,0,0
17,9,0,3,0,12,0,5,0,0,0,1,0,0,0.705882353,0.0,0.294117647,0,3,3.528064312,1,0,0
21,9,0,2,1,15,0,6,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,3.463280518,1,0,0
21,12,0,6,0,15,0,6,0,0,0,2,0,0,0.714285714,0.0,0.285714286,1,3,3.653756708,1,0,0
20,8,0,3,1,14,0,6,0,0,0,2,0,0,0.7,0.0,0.3,0,3,3.40869497,1,0,0
26,11,0,3,1,19,0,7,0,0,0,2,0,0,0.730769231,0.0,0.269230769,0,4,3.74832866,4,0,0
22,11,0,5,1,16,0,6,0,0,0,3,0,0,0.727272727,0.0,0.272727273,0,2,3.538310596,0,0,0
37,25,0,3,1,31,0,6,0,0,0,2,0,0,0.837837838,0.0,0.162162162,0,3,4.080414514,1,0,0
24,11,0,6,1,17,0,7,0,0,0,3,0,0,0.708333333,0.0,0.291666667,1,3,3.573934896,1,0,0
25,13,0,3,1,19,0,6,0,0,0,2,0,0,0.76,0.0,0.24,0,3,3.67326969,1,0,0
26,13,0,3,1,20,0,6,0,0,0,2,0,0,0.769230769,0.0,0.230769231,1,3,3.767183468,1,0,0
34,22,0,2,1,27,0,7,0,0,0,2,1,0,0.794117647,0.0,0.205882353,0,3,4.02085512,1,0,0
21,9,0,2,1,15,0,6,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,3.427333494,1,0,0
24,16,0,6,0,18,0,6,0,0,0,2,0,0,0.75,0.0,0.25,0,3,3.323934896,1,0,0
22,11,0,6,1,16,0,6,0,0,0,3,0,0,0.727272727,0.0,0.272727273,0,2,3.572623664,0,0,0
133,21,0,3,0,113,0,20,3,1,2,1,1,5,0.84962406,0.0,0.15037594,1,4,4.59615748,9,94,1
47,10,0,3,1,38,0,9,0,0,0,2,2,0,0.808510638,0.0,0.191489362,1,4,4.194670831,25,0,0
19,7,0,3,1,13,0,6,0,0,0,2,0,0,0.684210526,0.0,0.315789474,0,3,3.431623566,1,0,0
33,14,0,2,2,25,0,8,0,0,0,3,1,0,0.757575758,0.0,0.242424242,0,3,3.732751316,1,0,0
20,8,0,2,1,14,0,6,0,0,0,2,0,0,0.7,0.0,0.3,0,3,3.646439345,1,0,0
51,19,0,2,1,44,2,5,0,0,0,2,0,0,0.862745098,0.039215686,0.098039216,1,2,3.932639931,0,0,0
23,11,0,6,1,16,0,7,0,0,0,3,0,0,0.695652174,0.0,0.304347826,0,3,3.729446195,1,0,0
32,19,0,3,1,26,0,6,0,0,0,2,0,0,0.8125,0.0,0.1875,1,3,3.944548828,1,0,0
23,15,0,3,0,18,0,5,0,0,0,1,0,0,0.782608696,0.0,0.217391304,0,3,3.936180434,1,0,0
23,4,0,2,0,16,2,5,0,0,0,1,0,0,0.695652174,0.086956522,0.217391304,1,3,3.936180434,11,0,1
66,30,0,3,0,57,0,9,0,0,0,2,2,0,0.863636364,0.0,0.136363636,0,4,4.029095166,29,0,0
36,20,0,3,0,30,0,6,0,0,0,2,0,0,0.833333333,0.0,0.166666667,1,3,4.065079515,8,0,1
21,9,0,2,1,15,0,6,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,3.748994804,1,0,0
62,6,0,3,1,29,25,8,0,0,0,3,1,0,0.467741935,0.403225806,0.129032258,1,3,4.634623124,11,0,1
22,10,0,2,1,16,0,6,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,3.481714573,1,0,0
37,29,0,3,0,32,0,5,0,0,0,1,0,0,0.864864865,0.0,0.135135135,0,3,3.949204974,1,0,0
49,25,0,3,1,31,12,6,0,0,0,2,1,0,0.632653061,0.244897959,0.12244898,1,2,4.39738861,0,0,1
46,13,0,3,1,40,0,6,0,0,0,2,0,0,0.869565217,0.0,0.130434783,1,3,3.978049262,1,0,0
34,10,0,6,1,25,0,9,0,0,0,4,0,0,0.735294118,0.0,0.264705882,0,4,3.583950621,13,0,0
22,6,0,2,0,15,2,5,0,0,0,1,0,0,0.681818182,0.090909091,0.227272727,1,3,4.027169118,8,0,1
33,25,0,3,0,28,0,5,0,0,0,1,0,0,0.848484848,0.0,0.151515152,0,3,3.816232755,1,0,0
44,9,0,3,1,36,0,8,0,0,0,2,2,0,0.818181818,0.0,0.181818182,1,3,3.951146892,1,0,1
50,11,0,6,1,41,0,9,0,0,0,3,2,0,0.82,0.0,0.18,1,3,4.31326969,27,0,0
24,12,0,3,1,18,0,6,0,0,0,2,0,0,0.75,0.0,0.25,0,3,3.65726823,1,0,0
39,9,0,3,1,30,0,9,1,1,0,3,0,0,0.769230769,0.0,0.230769231,1,3,4.265544847,10,7,0
23,14,0,3,0,18,0,5,0,0,0,1,0,0,0.782608696,0.0,0.217391304,1,3,3.795088586,1,0,0
24,6,0,3,1,18,0,6,0,0,0,2,0,0,0.75,0.0,0.25,1,3,3.625814584,6,0,0
34,10,0,3,1,25,2,7,0,0,0,2,1,0,0.735294118,0.058823529,0.205882353,1,3,4.351593723,1,0,1
32,23,0,3,0,25,0,7,0,0,0,1,2,0,0.78125,0.0,0.21875,1,3,4.030639062,1,0,1
21,8,0,3,1,15,0,6,0,0,0,2,0,0,0.714285714,0.0,0.285714286,1,3,3.427333494,1,0,0
23,11,0,5,1,17,0,6,0,0,0,3,0,0,0.739130435,0.0,0.260869565,1,2,3.534219021,0,0,0
