feature,mean_abs_shap,mean_shap,rank,imbalance_method
is_https,0.07435100912866079,-0.0035777293399674396,1,none
dom_len,0.038725957528392446,0.009202291668432866,2,none
digit_ratio,0.03215761227705675,-0.0016893074532462688,3,none
entropy,0.03205086951166499,-0.0027270913620756386,4,none
digit_cnt,0.0269439475190587,-0.0008594560291815387,5,none
spec_ratio,0.020567501757591117,-0.007272840047057347,6,none
dash_cnt,0.018972962217996853,0.0005306288286821574,7,none
url_len,0.018863420708055252,-0.004169101393987038,8,none
path_len,0.01813475127982891,0.0037549042103429534,9,none
dot_cnt,0.01772738449763252,-0.0013868841141754836,10,none
letter_cnt,0.015556413870234433,-0.0034467738595646887,11,none
subdom_cnt,0.015284994489732523,-0.0002011619188049451,12,none
tld_len,0.009312464517683066,-0.0005257387441636026,13,none
slash_cnt,0.006972540874400875,0.0017459727120501213,14,none
special_cnt,0.006675526058606743,0.0027040069682679074,15,none
letter_ratio,0.005855376903773142,0.0003402629701933214,16,none
query_len,0.0015115812257146077,-0.00027095012075212753,17,none
eq_cnt,0.0006399296590661308,6.41021827291804e-05,18,none
under_cnt,0.00045648931660561133,-4.171314266152607e-05,19,none
qm_cnt,0.0002842853316330837,3.540149143065704e-05,20,none
amp_cnt,0.00026133162636304933,7.788842467999726e-06,21,none
is_ip,7.176766491755512e-06,-7.143849614182906e-06,22,none
is_https,0.13494159519961996,-0.06090761501035128,1,smote
entropy,0.0594001764276416,-0.031037002770579785,2,smote
digit_ratio,0.05765286833610528,-0.03493589592130123,3,smote
dom_len,0.05424132898604124,-0.02212690700908299,4,smote
spec_ratio,0.042162510106340687,-0.030655908976557397,5,smote
digit_cnt,0.03772122097263905,-0.022046093243665684,6,smote
letter_cnt,0.036295638048226775,-0.026753671411540413,7,smote
url_len,0.03331522531862542,-0.024236477979581308,8,smote
path_len,0.029688445070028914,-0.016527699165543978,9,smote
dot_cnt,0.028668579064535214,-0.01661870707824437,10,smote
subdom_cnt,0.02680203771896092,-0.011246903285706326,11,smote
tld_len,0.023568376063700977,-0.017254433718680098,12,smote
dash_cnt,0.0234566290397141,-0.011087224597817347,13,smote
letter_ratio,0.01349964335876012,-0.009743410135130776,14,smote
slash_cnt,0.012132375977045978,-0.007102673775136606,15,smote
special_cnt,0.009816790096611063,-0.006937023225545647,16,smote
query_len,0.001967994637744587,-0.0014320217507901843,17,smote
eq_cnt,0.0009278498083410599,-0.0004312236399526992,18,smote
under_cnt,0.0007714339343797261,-0.0004803619083355746,19,smote
qm_cnt,0.0003229928805426225,-0.00019001309513694433,20,smote
amp_cnt,0.0003047712716395606,-0.00010449874326479434,21,smote
is_ip,2.9438830301884164e-05,-2.848171620381948e-05,22,smote
is_https,0.1373904935412697,-0.060651429192865806,1,smoteenn
entropy,0.0628794785712189,-0.03209631278699651,2,smoteenn
digit_ratio,0.05940069524542046,-0.0351894582770216,3,smoteenn
dom_len,0.056126111439965695,-0.02205180817890142,4,smoteenn
spec_ratio,0.04583258595751262,-0.029830719224350648,5,smoteenn
digit_cnt,0.042530026998142324,-0.02548611030256138,6,smoteenn
letter_cnt,0.03542837957049372,-0.024569916586738866,7,smoteenn
url_len,0.03424256303384556,-0.023982461259574362,8,smoteenn
path_len,0.03270225123914511,-0.019011942402052374,9,smoteenn
dot_cnt,0.029678124218724865,-0.015991481835198794,10,smoteenn
subdom_cnt,0.02772000709717172,-0.010538342180232274,11,smoteenn
dash_cnt,0.026430459381140192,-0.011900572148424368,12,smoteenn
tld_len,0.022831851880629687,-0.016788603281729535,13,smoteenn
letter_ratio,0.011551824919728124,-0.008247987356198713,14,smoteenn
slash_cnt,0.010378519770748933,-0.005044936837805782,15,smoteenn
special_cnt,0.010199373954017871,-0.007728419674058683,16,smoteenn
query_len,0.0022232371407504134,-0.0017117811119756105,17,smoteenn
eq_cnt,0.0013663593412490903,-0.0009167789157192587,18,smoteenn
under_cnt,0.000882044510374376,-0.0006473709190793851,19,smoteenn
amp_cnt,0.00031300493758854,-0.0001467356496743861,20,smoteenn
qm_cnt,0.00028357540694228,-0.00012332079118956184,21,smoteenn
is_ip,4.1663784039621574e-05,-4.1663784039621574e-05,22,smoteenn
is_https,0.13540004437375952,-0.0594320188646096,1,random_undersampling
entropy,0.0684067759785417,-0.034336126541211216,2,random_undersampling
digit_ratio,0.06344425687375685,-0.03875248326397446,3,random_undersampling
dom_len,0.05751700685086572,-0.015004217157529698,4,random_undersampling
spec_ratio,0.041717523719001934,-0.025018398543153266,5,random_undersampling
digit_cnt,0.04090075207690985,-0.023805777853042265,6,random_undersampling
letter_cnt,0.03572980282146623,-0.022545255521376772,7,random_undersampling
url_len,0.03383930555039982,-0.020454127087471404,8,random_undersampling
dot_cnt,0.030149762847202406,-0.014407915908098723,9,random_undersampling
path_len,0.029676161931131338,-0.014956280296204365,10,random_undersampling
dash_cnt,0.02962977144823277,-0.010547596886809318,11,random_undersampling
subdom_cnt,0.028837741925848776,-0.007993234270923261,12,random_undersampling
tld_len,0.01790125411996066,-0.010013295870245666,13,random_undersampling
letter_ratio,0.011068856278298149,-0.006254222965230962,14,random_undersampling
slash_cnt,0.009487953802147099,-0.003991692471498923,15,random_undersampling
special_cnt,0.00861660100360523,-0.006075796750960764,16,random_undersampling
query_len,0.0021381083662340723,-0.0014595510984188116,17,random_undersampling
eq_cnt,0.00128031911984957,-0.0007019342058995537,18,random_undersampling
under_cnt,0.0008014273572118658,-0.0003341508587530329,19,random_undersampling
qm_cnt,0.000282376182918783,9.491083195296031e-06,20,random_undersampling
amp_cnt,0.0001666395935049067,-9.189113737986396e-05,21,random_undersampling
is_ip,4.24591412057213e-05,-4.24591412057213e-05,22,random_undersampling
