group_a,group_b,mean_a,mean_b,statistic,p_value,significant_holm,n_blocks,test_underpowered
random_undersampling,smotetomek,0.9027,0.9241,0.0,0.03125,False,6,True
adasyn,smotetomek,0.8946,0.9241,0.0,0.03125,False,6,True
cost_sensitive,random_undersampling,0.924,0.9027,0.0,0.03125,False,6,True
random_undersampling,smote,0.9027,0.9234,0.0,0.03125,False,6,True
random_oversampling,random_undersampling,0.922,0.9027,0.0,0.03125,False,6,True
adasyn,smote,0.8946,0.9234,1.0,0.0625,False,6,True
adasyn,random_oversampling,0.8946,0.922,2.0,0.09375,False,6,True
random_undersampling,smoteenn,0.9027,0.9188,2.0,0.09375,False,6,True
random_oversampling,smotetomek,0.922,0.9241,2.0,0.09375,False,6,True
adasyn,cost_sensitive,0.8946,0.924,3.0,0.15625,False,6,True
smote,smoteenn,0.9234,0.9188,3.0,0.15625,False,6,True
smoteenn,smotetomek,0.9188,0.9241,3.0,0.15625,False,6,True
smote,smotetomek,0.9234,0.9241,3.0,0.15625,False,6,True
adasyn,smoteenn,0.8946,0.9188,4.0,0.21875,False,6,True
random_oversampling,smote,0.922,0.9234,5.0,0.3125,False,6,True
cost_sensitive,smoteenn,0.924,0.9188,5.0,0.3125,False,6,True
random_oversampling,smoteenn,0.922,0.9188,6.0,0.4375,False,6,True
cost_sensitive,smotetomek,0.924,0.9241,6.0,0.4375,False,6,True
cost_sensitive,random_oversampling,0.924,0.922,7.0,0.5625,False,6,True
cost_sensitive,smote,0.924,0.9234,10.0,1.0,False,6,True
adasyn,random_undersampling,0.8946,0.9027,10.0,1.0,False,6,True
