config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,seed,scale,n_features,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,best_params,params_source,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
urlphish__adasyn__decision_tree__rnative__s42__full,urlphish,adasyn,Data-level (synthetic),decision_tree,,42,full,22,0.8802919708029197,0.9081325301204819,0.8939955522609341,0.8762236883688704,0.943816265060241,0.9693396226415094,0.9453335240963855,0.818860116894777,19590,410,305,3015,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_split"": 2}",seed 42,38.0,93280,23320,13280,3320,14.24,14.24
urlphish__adasyn__random_forest__rnative__s42__full,urlphish,adasyn,Data-level (synthetic),random_forest,,42,full,22,0.9151389710230633,0.9322289156626506,0.9236048940614742,0.9108394578805464,0.9589394578313253,0.9780445969125214,0.9894423644578313,0.9614049434365409,19713,287,225,3095,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",seed 42,44.3,93280,23320,13280,3320,14.24,14.24
urlphish__adasyn__svm__rnative__s42__full,urlphish,adasyn,Data-level (synthetic),svm,,42,full,22,0.6423722044728435,0.9689759036144578,0.7725744476464937,0.7483129197002777,0.9397129518072289,0.9187821612349915,0.9855773042168676,0.9282625891693527,18209,1791,103,3217,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",seed 42,915.7,93280,23320,13280,3320,14.24,14.24
urlphish__cost_sensitive__decision_tree__rnative__s42__full,urlphish,cost_sensitive,Algorithm-level,decision_tree,,42,full,22,0.8857739337906353,0.8945783132530121,0.8901543533643039,0.8718292639787492,0.937714156626506,0.9685677530017153,0.9393180798192771,0.8281089603929708,19617,383,350,2970,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",seed 42,25.5,93280,23320,13280,3320,14.24,14.24
urlphish__cost_sensitive__random_forest__rnative__s42__full,urlphish,cost_sensitive,Algorithm-level,random_forest,,42,full,22,0.9483627204030227,0.9072289156626506,0.9273399014778325,0.9158926981952202,0.9495144578313253,0.9797598627787307,0.989170888554217,0.9709660266886639,19836,164,308,3012,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",seed 42,32.4,93280,23320,13280,3320,14.24,14.24
urlphish__cost_sensitive__svm__rnative__s42__full,urlphish,cost_sensitive,Algorithm-level,svm,,42,full,22,0.8630024610336341,0.9506024096385542,0.9046868281496345,0.8894011480927075,0.9627762048192772,0.9714837049742711,0.9897044126506023,0.9544012233616604,19499,501,164,3156,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",seed 42,213.9,93280,23320,13280,3320,14.24,14.24
urlphish__none__decision_tree__rnative__s42__full,urlphish,none,Baseline,decision_tree,,42,full,22,0.9162468513853904,0.8765060240963856,0.895935960591133,0.8793978488726064,0.9316030120481928,0.9710120068610635,0.9761142695783134,0.9336197313998221,19734,266,410,2910,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_split"": 2}",seed 42,20.4,93280,23320,13280,3320,14.24,14.24
urlphish__none__random_forest__rnative__s42__full,urlphish,none,Baseline,random_forest,,42,full,22,0.9593392630241423,0.9096385542168675,0.9338280766852195,0.9236228423382377,0.9516192771084337,0.9816466552315609,0.9932770406626507,0.9768471269730625,19872,128,300,3020,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 300}",seed 42,25.4,93280,23320,13280,3320,14.24,14.24
urlphish__none__svm__rnative__s42__full,urlphish,none,Baseline,svm,,42,full,22,0.9449685534591195,0.9051204819277109,0.9246153846153846,0.9127005097296651,0.9481852409638554,0.9789879931389366,0.9896345331325302,0.9651783726072088,19825,175,315,3005,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",seed 42,154.4,93280,23320,13280,3320,14.24,14.24
urlphish__random_oversampling__decision_tree__rnative__s42__full,urlphish,random_oversampling,Data-level (resampling),decision_tree,,42,full,22,0.8898836168307968,0.8981927710843374,0.8940188877229801,0.8763435088737047,0.9398713855421688,0.9696826758147513,0.9412781475903614,0.8325238376880347,19631,369,338,2982,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_split"": 2}",seed 42,20.8,93280,23320,13280,3320,14.24,14.24
